OBJECTID,plz,ags,ort,landkreis,bundesland,einwohner,note,SHAPE_Length,SHAPE_Area
48,52457,05358004,Aldenhoven,Kreis Düren,Nordrhein-Westfalen,13751,52457 Aldenhoven,73739.572724537,111064615.570513
49,47608,05154012,Geldern,Kreis Kleve,Nordrhein-Westfalen,33002,47608 Geldern,92729.0497821217,250025939.187318
50,41812,05370004,Erkelenz,Kreis Heinsberg,Nordrhein-Westfalen,42969,41812 Erkelenz,116177.911711863,296353312.917447
51,52224,05334032,Stolberg,Städteregion Aachen,Nordrhein-Westfalen,14421,52224 Stolberg,85009.7687611838,166266918.92589
52,47638,05154052,Straelen,Kreis Kleve,Nordrhein-Westfalen,15435,47638 Straelen,76014.0859816958,190383882.011963
53,41366,05166024,Schwalmtal,Kreis Viersen,Nordrhein-Westfalen,19084,41366 Schwalmtal,59260.8671789807,122575592.469997
54,47589,05154056,Uedem,Kreis Kleve,Nordrhein-Westfalen,8291,47589 Uedem,66582.1081332557,158048443.978279
55,54608,07232206,Bleialf,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,2627,54608 Bleialf,70653.0565565089,210683435.986107
56,54675,07232004,Ammeldingen an der Our,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,6048,54675 KÃ¶rperich u.a.,114245.930745698,295213205.686069
57,52222,05334032,Stolberg,Städteregion Aachen,Nordrhein-Westfalen,20927,52222 Stolberg (Rhld.),609.082898153495,17685.338923997
58,47546,05154024,Kalkar,Kreis Kleve,Nordrhein-Westfalen,13810,47546 Kalkar,89705.1289270389,229699234.614749
59,54597,07232202,Auw bei Prüm,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,10631,54597 Pronsfeld,77175.9336834518,155955576.230771
60,54687,07232201,Arzfeld,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,1383,54687 Arzfeld,43700.3913325404,47018700.8377964
61,47625,05154032,Kevelaer,Kreis Kleve,Nordrhein-Westfalen,2506,47625 Kevelaer-Wetten,41445.9710441023,65255900.4824512
62,47627,05154032,Kevelaer,Kreis Kleve,Nordrhein-Westfalen,2036,47627 Kevelaer-Kervenheim,39645.3076590087,40026885.0355799
63,47626,05154032,Kevelaer,Kreis Kleve,Nordrhein-Westfalen,4200,47626 Kevelaer-Winnekendonk,54231.5578193685,65731843.2694333
64,52152,05334028,Simmerath,Städteregion Aachen,Nordrhein-Westfalen,15124,52152 Simmerath,114201.768254135,269585918.566075
65,52156,05334020,Monschau,Städteregion Aachen,Nordrhein-Westfalen,12124,52156 Monschau,807.856675241294,40961.1091385209
66,52152,05334028,Simmerath,Städteregion Aachen,Nordrhein-Westfalen,15124,52152 Simmerath,9592.32734364767,5503005.64120677
67,41751,05166032,Viersen,Kreis Viersen,Nordrhein-Westfalen,22348,41751 Viersen,45415.324561962,80728380.5848797
68,52428,05358024,Jülich,Kreis Düren,Nordrhein-Westfalen,31866,52428 JÃ¼lich,90822.3658223971,227129079.674722
69,47669,05154060,Wachtendonk,Kreis Kleve,Nordrhein-Westfalen,7818,47669 Wachtendonk,53303.3006229792,123281691.834038
70,52393,05358016,Hürtgenwald,Kreis Düren,Nordrhein-Westfalen,8679,52393 HÃ¼rtgenwald,92102.1735473782,219143597.099442
71,54597,07232202,Auw bei Prüm,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,10631,54597 Pronsfeld,240896.858377602,530230044.862099
72,41179,05116000,Mönchengladbach,,Nordrhein-Westfalen,16662,41179 MÃ¶nchengladbach,44289.0314812437,85864925.5003705
73,47665,05170040,Sonsbeck,Kreis Wesel,Nordrhein-Westfalen,8712,47665 Sonsbeck,77126.7578527956,143466916.261823
74,52379,05358032,Langerwehe,Kreis Düren,Nordrhein-Westfalen,13471,52379 Langerwehe,59901.7571746491,103695033.46816
75,54649,07232211,Dackscheid,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,2366,54649 Waxweiler,87168.7544920877,118161529.493632
76,46459,05154044,Rees,Kreis Kleve,Nordrhein-Westfalen,21612,46459 Rees,93158.2746857511,286563034.880623
77,47929,05166008,Grefrath,Kreis Viersen,Nordrhein-Westfalen,14969,47929 Grefrath,49271.6027688055,79265711.551064
78,41169,05116000,Mönchengladbach,,Nordrhein-Westfalen,7054,41169 MÃ¶nchengladbach,28934.2494297705,37348063.4705117
79,41749,05166032,Viersen,Kreis Viersen,Nordrhein-Westfalen,16200,41749 Viersen,41942.3318392442,71754344.1927295
80,47647,05154028,Kerken,Kreis Kleve,Nordrhein-Westfalen,12545,47647 Kerken,57691.1786515481,149534857.969414
81,54595,07232227,Gondenbrett,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,7590,54595 PrÃ¼m,92856.0637597943,209289087.706483
82,52459,05358020,Inden,Kreis Düren,Nordrhein-Westfalen,6952,52459 Inden,46229.2927219814,90126327.6003745
83,53940,05366020,Hellenthal,Kreis Euskirchen,Nordrhein-Westfalen,8272,53940 Hellenthal,146670.591953089,339020992.758808
84,54669,07232019,Bollendorf,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,1647,54669 Bollendorf,31195.7022507106,31653056.5543488
85,54646,07232013,Bettingen,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,1624,54646 Bettingen,56045.8135726808,80931950.6994001
86,52445,05358056,Titz,Kreis Düren,Nordrhein-Westfalen,8299,52445 Titz,89416.9114215763,172748414.709625
87,53937,05366036,Schleiden,Kreis Euskirchen,Nordrhein-Westfalen,13135,53937 Schleiden,98614.7286223927,302580524.46311
88,41189,05116000,Mönchengladbach,,Nordrhein-Westfalen,17180,41189 MÃ¶nchengladbach,45963.07518944,71232532.4399998
89,54636,07232003,Altscheid,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,13587,54636 Rittersdorf u.a.,240165.736217003,545548846.249564
90,46509,05170052,Xanten,Kreis Wesel,Nordrhein-Westfalen,21315,46509 Xanten,83377.0662517926,188049740.75176
91,41069,05116000,Mönchengladbach,,Nordrhein-Westfalen,16039,41069 MÃ¶nchengladbach,30512.3062805422,22773766.1928581
92,66706,10042115,Perl,Landkreis Merzig-Wadern,Saarland,7791,66706 Perl,77461.1313720161,178639740.16215
93,54439,07235025,Fisch,Landkreis Trier-Saarburg,Rheinland-Pfalz,9157,54439 Saarburg,103084.35138078,161663938.972961
94,47906,05166012,Kempen,Kreis Viersen,Nordrhein-Westfalen,35141,47906 Kempen,74851.1692264059,176329095.57795
95,41747,05166032,Viersen,Kreis Viersen,Nordrhein-Westfalen,18744,41747 Viersen,25981.1286115154,21407222.7196797
96,41748,05166032,Viersen,Kreis Viersen,Nordrhein-Westfalen,17713,41748 Viersen,46898.6412105793,57793732.5100181
97,54668,07232002,Alsdorf,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,4360,54668 Ferschweiler,78527.9652961022,155573783.732829
98,41068,05116000,Mönchengladbach,,Nordrhein-Westfalen,14680,41068 MÃ¶nchengladbach,25963.0631446417,20017162.3245656
99,52385,05358044,Nideggen,Kreis Düren,Nordrhein-Westfalen,9880,52385 Nideggen,99373.9557326021,161828127.796733
100,47661,05154020,Issum,Kreis Kleve,Nordrhein-Westfalen,11940,47661 Issum,72271.8543268872,141334038.936725
101,54597,07232202,Auw bei Prüm,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,10631,54597 Pronsfeld,49804.3587509363,54273866.3743255
102,52396,05358012,Heimbach,Kreis Düren,Nordrhein-Westfalen,4424,52396 Heimbach,81865.2565202885,160695941.58535
103,54457,07235149,Wincheringen,Landkreis Trier-Saarburg,Rheinland-Pfalz,1752,54457 Wincheringen,42143.5798660792,45409587.4791331
104,54611,07233214,Hallschlag,Landkreis Vulkaneifel,Rheinland-Pfalz,645,54611 Hallschlag,39873.3695364177,44320187.6203375
105,52353,05358008,Düren,Kreis Düren,Nordrhein-Westfalen,25000,52353 DÃ¼ren,50192.9928889464,78745308.7714418
106,46419,05554032,Isselburg,Kreis Borken,Nordrhein-Westfalen,10932,46419 Isselburg,59125.9310571518,111909855.456697
107,47918,05166028,Tönisvorst,Kreis Viersen,Nordrhein-Westfalen,29593,47918 TÃ¶nisvorst,48607.0191593112,113342849.524727
108,41063,05116000,Mönchengladbach,,Nordrhein-Westfalen,19283,41063 MÃ¶nchengladbach,29981.8420195336,20808813.5790076
109,41747,05166032,Viersen,Kreis Viersen,Nordrhein-Westfalen,18744,41747 Viersen,4120.17817531676,550892.203224296
110,41748,05166032,Viersen,Kreis Viersen,Nordrhein-Westfalen,17713,41748 Viersen,878.932780461747,38543.0583909357
111,41239,05116000,Mönchengladbach,,Nordrhein-Westfalen,20578,41239 MÃ¶nchengladbach,19188.8217272866,17494833.3720414
112,52355,05358008,Düren,Kreis Düren,Nordrhein-Westfalen,23203,52355 DÃ¼ren,54280.4957294634,84022778.6511015
113,54614,07232216,Dingdorf,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,2104,54614 SchÃ¶necken,46481.3591161084,87766876.322334
114,41748,05166032,Viersen,Kreis Viersen,Nordrhein-Westfalen,17713,41748 Viersen,1383.69836713195,45986.4662233536
115,41069,05116000,Mönchengladbach,,Nordrhein-Westfalen,16039,41069 MÃ¶nchengladbach,2910.33516508833,290881.738454533
116,47877,05166036,Willich,Kreis Viersen,Nordrhein-Westfalen,50792,47877 Willich,67956.5514429867,172986268.274844
117,53949,05366012,Dahlem,Kreis Euskirchen,Nordrhein-Westfalen,4216,53949 Dahlem,87650.6384981972,233998862.507329
118,52382,05358048,Niederzier,Kreis Düren,Nordrhein-Westfalen,13759,52382 Niederzier,64741.0321294791,159239493.747569
119,46519,05170004,Alpen,Kreis Wesel,Nordrhein-Westfalen,12806,46519 Alpen,63527.1480183198,154204891.126988
120,41061,05116000,Mönchengladbach,,Nordrhein-Westfalen,22328,41061 MÃ¶nchengladbach,21561.9551300521,7740910.45886744
121,41747,05166032,Viersen,Kreis Viersen,Nordrhein-Westfalen,18744,41747 Viersen,395.473380052131,9061.68993811892
122,47509,05154048,Rheurdt,Kreis Kleve,Nordrhein-Westfalen,6526,47509 Rheurdt,45556.7158335492,77062636.254526
123,41061,05116000,Mönchengladbach,,Nordrhein-Westfalen,22328,41061 MÃ¶nchengladbach,937.265612631496,52223.4163943926
124,52372,05358028,Kreuzau,Kreis Düren,Nordrhein-Westfalen,17256,52372 Kreuzau,70931.8170524901,104243419.901442
125,41199,05116000,Mönchengladbach,,Nordrhein-Westfalen,21555,41199 MÃ¶nchengladbach,29945.7080665033,32795763.1464491
126,54453,07235095,Nittel,Landkreis Trier-Saarburg,Rheinland-Pfalz,2245,54453 Nittel,45966.9622268563,39731677.8616464
127,54612,07232256,Lasel,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,929,54612 Lasel,39880.8761792503,41425325.3249985
128,54441,07235002,Ayl,Landkreis Trier-Saarburg,Rheinland-Pfalz,9158,"54441 Ayl, Trassem u.a.",99342.2250695387,114470972.907046
129,54441,07235002,Ayl,Landkreis Trier-Saarburg,Rheinland-Pfalz,9158,"54441 Ayl, Trassem u.a.",27885.439118246,23238848.877338
130,41066,05116000,Mönchengladbach,,Nordrhein-Westfalen,17436,41066 MÃ¶nchengladbach,36743.6799782295,34167510.3022731
131,52349,05358008,Düren,Kreis Düren,Nordrhein-Westfalen,14672,52349 DÃ¼ren,24091.4154176673,16662145.3375718
132,41065,05116000,Mönchengladbach,,Nordrhein-Westfalen,26889,41065 MÃ¶nchengladbach,37385.2409377088,20375719.7781634
133,54666,07232063,Irrel,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,1437,54666 Irrel,23332.3730177188,16354504.124486
134,41236,05116000,Mönchengladbach,,Nordrhein-Westfalen,24531,41236 MÃ¶nchengladbach,15053.3378465275,8834721.16571438
135,41238,05116000,Mönchengladbach,,Nordrhein-Westfalen,31086,41238 MÃ¶nchengladbach,51107.5949596331,53126266.2641
136,41363,05162012,Jüchen,Rhein-Kreis Neuss,Nordrhein-Westfalen,22197,41363 JÃ¼chen,88844.8151533587,182061693.380807
137,41061,05116000,Mönchengladbach,,Nordrhein-Westfalen,22328,41061 MÃ¶nchengladbach,5970.4230708414,411966.389805998
138,41063,05116000,Mönchengladbach,,Nordrhein-Westfalen,19283,41063 MÃ¶nchengladbach,280.217837031783,4626.0841572437
139,54310,07232078,Menningen,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,2471,54310 Ralingen,70694.8300989385,84155879.701012
140,66693,10042114,Mettlach,Landkreis Merzig-Wadern,Saarland,12210,66693 Mettlach,104594.542940572,185332369.893809
141,47475,05170020,Kamp-Lintfort,Kreis Wesel,Nordrhein-Westfalen,37333,47475 Kamp-Lintfort,75737.0353968816,162814021.473388
142,54634,07232017,Birtlingen,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,14219,54634 Bitburg,88334.8809021355,157881746.90581
143,50181,05362004,Bedburg,Rhein-Erft-Kreis,Nordrhein-Westfalen,23064,50181 Bedburg,80617.5027570333,201980907.652625
144,46487,05170048,Wesel,Kreis Wesel,Nordrhein-Westfalen,16396,46487 Wesel,78952.7912124656,201602123.42152
145,54456,07235101,Onsdorf,Landkreis Trier-Saarburg,Rheinland-Pfalz,2758,54456 Tawern,18817.7315750218,8236866.66835002
146,46399,05554008,Bocholt,Kreis Borken,Nordrhein-Westfalen,18398,46399 Bocholt,69743.5709636002,139921702.540952
147,54589,07233219,Kerschenbach,Landkreis Vulkaneifel,Rheinland-Pfalz,1615,54589 Stadtkyll,38987.4159754105,65910640.3313328
148,54298,07235001,Aach,Landkreis Trier-Saarburg,Rheinland-Pfalz,7787,"54298 Welschbillig, Igel, Aach",75673.3003995013,118871138.420701
149,47839,05114000,Krefeld,,Nordrhein-Westfalen,16087,47839 Krefeld,44386.1019095775,49002993.259007
150,50189,05362016,Elsdorf,Rhein-Erft-Kreis,Nordrhein-Westfalen,20825,50189 Elsdorf,68625.1012817421,167131246.412684
151,54331,07235096,Oberbillig,Landkreis Trier-Saarburg,Rheinland-Pfalz,1959,54331 Pellingen,15936.3534102055,12809126.1576197
152,41352,05162020,Korschenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,32017,41352 Korschenbroich,76727.4252426639,140477633.834449
153,52351,05358008,Düren,Kreis Düren,Nordrhein-Westfalen,25832,52351 DÃ¼ren,33093.4561819302,33038817.8854633
154,46499,05170012,Hamminkeln,Kreis Wesel,Nordrhein-Westfalen,26485,46499 Hamminkeln,121429.400151402,428592649.853579
155,54441,07235002,Ayl,Landkreis Trier-Saarburg,Rheinland-Pfalz,9158,"54441 Ayl, Trassem u.a.",57610.294813533,72963027.3422055
156,54456,07235101,Onsdorf,Landkreis Trier-Saarburg,Rheinland-Pfalz,2758,54456 Tawern,24782.1683934621,24463942.503645
157,47804,05114000,Krefeld,,Nordrhein-Westfalen,18063,47804 Krefeld,35559.4113707775,35546929.751205
158,53925,05366024,Kall,Kreis Euskirchen,Nordrhein-Westfalen,11403,53925 Kall,66374.684156775,162877218.257382
159,54308,07235073,Langsur,Landkreis Trier-Saarburg,Rheinland-Pfalz,1638,54308 Langsur,35755.2704774695,28511814.3218214
160,47506,05170028,Neukirchen-Vluyn,Kreis Wesel,Nordrhein-Westfalen,27228,47506 Neukirchen-Vluyn,66392.2032582004,111773620.487353
161,52399,05358040,Merzenich,Kreis Düren,Nordrhein-Westfalen,9845,52399 Merzenich,62648.9352691096,94774650.6219747
162,66663,10042113,Merzig,Landkreis Merzig-Wadern,Saarland,29754,66663 Merzig,88552.9887284637,257705759.670056
163,54332,07235143,Wasserliesch,Landkreis Trier-Saarburg,Rheinland-Pfalz,2261,54332 Wasserliesch,19801.8693363675,18078188.3973103
164,54450,07235028,Freudenburg,Landkreis Trier-Saarburg,Rheinland-Pfalz,1554,54450 Freudenburg,29042.1194206785,24044652.7374432
165,46395,05554008,Bocholt,Kreis Borken,Nordrhein-Westfalen,28624,46395 Bocholt,55170.3838537411,106522979.127736
166,52391,05358060,Vettweiß,Kreis Düren,Nordrhein-Westfalen,8965,52391 VettweiÃŸ,81326.0452550886,207295945.850575
167,47803,05114000,Krefeld,,Nordrhein-Westfalen,25186,47803 Krefeld,29198.4768561384,26238781.2418663
168,41517,05162008,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,13048,41517 Grevenbroich,62105.5871456116,88089372.9852387
169,54329,07235068,Konz,Landkreis Trier-Saarburg,Rheinland-Pfalz,17565,54329 Konz,74808.7638163702,106280982.31565
170,52388,05358052,Nörvenich,Kreis Düren,Nordrhein-Westfalen,10593,52388 NÃ¶rvenich,83533.9302412743,165451723.124402
171,54298,07235001,Aach,Landkreis Trier-Saarburg,Rheinland-Pfalz,7787,"54298 Welschbillig, Igel, Aach",21401.452979924,17472969.0098884
172,54311,07235137,Trierweiler,Landkreis Trier-Saarburg,Rheinland-Pfalz,3669,54311 Trierweiler,40713.0007018371,44155477.323906
173,47802,05114000,Krefeld,,Nordrhein-Westfalen,9892,47802 Krefeld,49677.0588760284,54912660.3254062
174,54655,07232035,Etteldorf,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,3273,54655 Kyllburg,70801.0774799912,172818641.101232
175,54610,07232209,Büdesheim,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,585,54610 BÃ¼desheim,29389.095954925,32709332.1632851
176,54584,07233023,Feusdorf,Landkreis Vulkaneifel,Rheinland-Pfalz,2737,54584 JÃ¼nkerath,55441.3859691961,49001924.6923751
177,47495,05170032,Rheinberg,Kreis Wesel,Nordrhein-Westfalen,30940,47495 Rheinberg,83451.8460729885,194316875.765422
178,53894,05366028,Mechernich,Kreis Euskirchen,Nordrhein-Westfalen,26779,53894 Mechernich,110528.693421042,337381024.147136
179,54587,07233007,Birgel,Landkreis Vulkaneifel,Rheinland-Pfalz,1608,54587 Lissendorf,35944.7252421245,40975129.7374762
180,66780,10044114,Rehlingen-Siersburg,Landkreis Saarlouis,Saarland,14560,66780 Rehlingen-Siersburg,79924.3589200711,145050181.186587
181,47807,05114000,Krefeld,,Nordrhein-Westfalen,24153,47807 Krefeld,30228.7283870386,43560467.2646121
182,54657,07232007,Badem,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz,2340,"54657 Badem, Gindorf, Neidenbach",23336.8560922842,22034829.9484767
183,54586,07233239,Schüller,Landkreis Vulkaneifel,Rheinland-Pfalz,316,54586 SchÃ¼ller,14313.5409081365,10400149.9158044
184,47805,05114000,Krefeld,,Nordrhein-Westfalen,15357,47805 Krefeld,18937.329424934,11497151.6460077
185,41515,05162008,Grevenbroich,Rhein-Kreis Neuss,Nordrhein-Westfalen,28224,41515 Grevenbroich,53768.4349164396,65683592.5964584
186,47798,05114000,Krefeld,,Nordrhein-Westfalen,28171,47798 Krefeld,13138.1004966818,6603317.93845039
187,54455,07235126,Serrig,Landkreis Trier-Saarburg,Rheinland-Pfalz,1633,54455 Serrig,41909.3712578724,42038082.9873768
188,54570,07233004,Berlingen,Landkreis Vulkaneifel,Rheinland-Pfalz,8331,"54570 Pelm, Neroth u.a.",182319.462121061,392111831.336096
189,53947,05366032,Nettersheim,Kreis Euskirchen,Nordrhein-Westfalen,7585,53947 Nettersheim,92103.391141209,233328547.606829
190,50170,05362032,Kerpen,Rhein-Erft-Kreis,Nordrhein-Westfalen,21609,50170 Kerpen,48508.766062619,66522545.8743102
191,54574,07233204,Birresborn,Landkreis Vulkaneifel,Rheinland-Pfalz,1416,54574 Birresborn,45488.1066371316,69928625.2113376
192,54294,07211000,Trier,,Rheinland-Pfalz,21393,54294 Trier,51970.0554955067,62637392.1832854
193,47447,05170024,Moers,Kreis Wesel,Nordrhein-Westfalen,19924,47447 Moers,51138.0416854989,61846042.6539817
194,41564,05162016,Kaarst,Rhein-Kreis Neuss,Nordrhein-Westfalen,41932,41564 Kaarst,57408.4323441592,95143485.5020248
195,54568,07233026,Gerolstein,Landkreis Vulkaneifel,Rheinland-Pfalz,7668,54568 Gerolstein,89031.2301353937,157886814.454148
196,54309,07235094,Newel,Landkreis Trier-Saarburg,Rheinland-Pfalz,2896,54309 Newel,44955.6470594761,39638977.9094026
197,50126,05362008,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,19032,50126 Bergheim,41280.7936020185,66332259.4350055
198,54298,07235001,Aach,Landkreis Trier-Saarburg,Rheinland-Pfalz,7787,"54298 Welschbillig, Igel, Aach",25868.7504001031,16746735.6490083
199,47799,05114000,Krefeld,,Nordrhein-Westfalen,19019,47799 Krefeld,14396.6932756832,6444481.76554942
200,53909,05366044,Zülpich,Kreis Euskirchen,Nordrhein-Westfalen,19768,53909 ZÃ¼lpich,106424.369889789,251447213.431835
201,54570,07233004,Berlingen,Landkreis Vulkaneifel,Rheinland-Pfalz,8331,"54570 Pelm, Neroth u.a.",22036.8363104047,18594807.8980746
202,47445,05170024,Moers,Kreis Wesel,Nordrhein-Westfalen,27224,47445 Moers,35929.8970555871,55731927.8339014
203,54451,07235052,Irsch,Landkreis Trier-Saarburg,Rheinland-Pfalz,1500,54451 Irsch,50099.0319500711,36438402.9770759
204,54459,07235148,Wiltingen,Landkreis Trier-Saarburg,Rheinland-Pfalz,1452,54459 Wiltingen,46768.8208689878,38212222.1542362
